Date;Identifiant;Genre;Annee_diplome;Type_formation;Filiere;Situation;Secteur;Nature_contrat;France;Region;Pays;Anciennete;Nom_entreprise;Taille_entreprise;Departement;Intitule_poste;Secteur_activite;Salaire_annuel;Responsabilite_hierarchique;Responsabilite_budget;Responsabilite_equipe;Responsabilite_projet;Satisfaction_globale;Saitisfaction_relations;Satisfaction_salaire;Satisfaction_autonomie;Satisfaction_localisation;;;;;;
25/05/2018 09:30;1783551724198340;Homme;2016;Initiale;MEA;Activite;Prive;CDI;France;Occitanie;;32;Equadex;20_49;Informatique industrielle et technique ;Ing�nieur d�veloppement;T�l�communications;36000;NON;NON;NON;OUI;4;4;3;2;4;;;;;;
25/05/2018 12:13;1783551799040730;Homme;2016;Initiale;MEA;Activite;Prive;CDI;France;Ile-de-France;;24;NEXTON ;50_249;Direction g�n�rale ;Account Manager;Activit�s informatiques et services d'information (TIC services);53000;OUI;OUI;OUI;OUI;4;5;4;4;3;;;;;;
25/05/2018 15:35;1794637749900080;Homme;2016;Initiale;MEA;Activite;Prive;CDI;France;PACA;;27;LGM;50_249;Etudes - Conseil et expertise (autre qu'informatique);Ing�nieur Sur�t� de Fonctionnement;Industrie automobile; a�ronautique; navale; ferroviaire;33440;NON;NON;NON;NON;4;5;4;3;5;;;
25/05/2018 19:28;1798487221614730;Homme;2017;Initiale;MEA;Activite;Prive;CDI;France;Occitanie;;6;Navocap;50_249;Informatique industrielle et technique ;D�veloppeur syst�me embarqu�;Industrie automobile; a�ronautique; navale; ferroviaire;35000_;NON;NON;NON;NON;1;4;5;3;4;;;
26/05/2018 12:06;1788573360729240;Femme;2017;Initiale;GBA;Volontariat;;;;;;;;;;;;;;;;;;;;;;;;;;;
26/05/2018 13:01;1776621773290900;Homme;2015;Initiale;GBA;Activite;Prive;CDI;France;Nouvelle-Aquitaine;;26;Coufidou;20_49;Production - Exploitation ;Ing�nieur de Production;Industrie agroalimentaire ;35009;;OUI;OUI;OUI;4;4;3;4;3;;;;;;
27/05/2018 22:12;1777070232104030;Homme;2016;;MEA;Activite;Prive;CDI;France;Nouvelle-Aquitaine;;;;5000_;;;Industrie automobile; a�ronautique; navale; ferroviaire;;;;;;;;;;;;;
28/05/2018 17:41;1768183686766870;Homme;2017;Initiale;MAT;Activite;Prive;CDI;France;Occitanie;;9;CGI;50_249;Communication ;Ing�nieur en Technique de l'Information;Activit�s informatiques et services d'information (TIC services);;OUI;;OUI;OUI;;5;4;4;5;;;;;;
29/05/2018 11:17;1776615826893460;Femme;2016;Initiale;MAT;Activite;Prive;CDI;France;Ile-de-France;;18;Arquus;50_249;Marketing;Responsable tarification;Autres secteurs ;38733;NON;OUI;NON;NON;4;5;3;3;3;;;;;;
31/05/2018 00:26;1798714129947400;Homme;2016;Initiale;GBA;Activite;Prive;CDD;France;Martinique;;4;Flet;50_249;Qualit�; s�curit�; s�ret� de fonctionnement ;Assistant responsable QHSE;Industrie agroalimentaire ;;NON;NON;NON;OUI;1;5;3;5;5;;;;
29/05/2018 22:01;1882874460265010;Homme;2016;Initiale;MEA;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;14;Viveris Technologies;50_249;Recherche-d�veloppement; �tudes scientifiques et techniques (autre qu'informatique);Ing�nieur �lectronicien;�nergie (Production et distribution d'�lectricit�; de gaz; de vapeur et d'air conditionn�);32000;NON;NON;NON;OUI;3;3;4;5;3;;;
29/05/2018 21:49;1867820057929010;Femme;2017;Initiale;STE;Activite;Prive;CDI;France;Occitanie;;5;HYDRO-M;5000_;Etudes - Conseil et expertise (autre qu'informatique);chargee detude hydraulique fluviale et environnement;Soci�t�s de conseil; bureaux d'�tudes;32000;NON;NON;NON;OUI;4;5;4;4;5;;;;;
30/05/2018 21:50;1788910982411890;Homme;2016;Initiale;MEA;Activite;Prive;CDI;France;Ile-de-France;;22;GALEC;5000_;M�thodes; contr�le de production; maintenance;Chef de Projet;Commerce;42000;OUI;;OUI;OUI;4;4;3;5;2;;;;
31/05/2018 18:46;1798487318316520;Homme;2015;Initiale;IG;Sans activit� volontairement;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/05/2018 17:58;1782393036821250;Homme;2015;Professionalisation;GBA;Recherche;Prive;CDD;;;;;;;;;;;;;;;;;;;;;;;;;
31/05/2018 18:16;1782336322078230;Homme;2017;Initiale;MAT;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;10;Soitec;50_249;Production - Exploitation ;Ing�nieur process;Fabrication de produits en caoutchouc et en plastique ainsi que d'autres produits min�raux non m�talliques;36500;OUI;NON;OUI;OUI;4;5;4;4;3;;;;;;
01/06/2018 10:20;1793834790839740;Femme;2015;Professionalisation;GBA;Activite;Prive;CDD � termes impr�cis;France;PACA;;2;SAI NUTRITION;20_49;M�thodes; contr�le de production; maintenance;Responsable projets industriels;Industrie agroalimentaire ;35046;NON;OUI;NON;OUI;4;4;3;4;5;;;;
02/06/2018 11:52;1868014614572320;Femme;2015;Initiale;MAT;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;33;Becton; Dickinson;5000_;Recherche-d�veloppement; �tudes scientifiques et techniques (autre qu'informatique);ing�nieur R&D ;Industrie pharmaceutique;39200;NON;NON;NON;NON;4;5;4;4;4;;;;
05/06/2018 22:16;1783492583611410;Femme;2017;Initiale;GBA;Activite;Prive;CDD;France;Nouvelle-Aquitaine;;4;Bistro R�gent Tresses;10_19;Restauration;Serveuse;H�bergement et restauration;;NON;NON;NON;NON;4;5;3;4;5;;;;;;
13/06/2018 17:26;1788692241729700;Homme;2016;Initiale;MAT;Activite;Prive;CDI;France;Occitanie;;20;CGI;5000_;Exploitation / maintenance informatique ;ITIM;Industrie des technologies de l'Information et de la Communication (TIC);30000;NON;NON;NON;NON;4;5;3;4;5;;;;;;
15/06/2018 11:38;1782333450033960;Homme;2016;Apprentissage;SE;Activite;Prive;CDI;France;Occitanie;;13;Alten;5000_;Informatique industrielle et technique ;Ing�nieur AIT avio;Autres activit�s sp�cialis�es; scientifiques et techniques;29000;NON;NON;NON;OUI;3;5;2;3;4;;;;;
15/06/2018 18:59;1798623218802820;Homme;2016;Apprentissage;SE;Recherche;;;;;;;;;;;;;;;;;;;;;;;;;;;
17/07/2018 14:31;1889139014440800;Homme;2016;Initiale;IG;Activite;Prive;CDI;France;PACA;;20;;10_19;R�seaux; intranet; internet; t�l�communications ;Ing�nieur - big data - full stack developper;T�l�communications;;OUI;OUI;OUI;OUI;5;5;5;5;5;;;
18/11/2018 17:04;1902765993939960;Homme;2015;Initiale;ENR;Activite;Prive;CDI;France;Occitanie;;36;Quadran Groupe Direct Energie;5000_;Recherche-d�veloppement; �tudes scientifiques et techniques (autre qu'informatique);Chef de projets solaires;�nergie (Production et distribution d'�lectricit�; de gaz; de vapeur et d'air conditionn�);36500;NON;NON;NON;OUI;5;5;2;4;3;;;
